Cohort,Section Y1,Midterm Y1,Final Y1,Teacher Midterm Y1,Teacher Final Y1,Section Y2,Exam Y2
2.0,2.0,22.5,36,2.0,1.0,2.0,47
2.0,2.0,21.5,32,2.0,1.0,2.0,47
2.0,2.0,29,26,2.0,1.0,2.0,47
2.0,2.0,15.5,13,2.0,1.0,2.0,47
2.0,2.0,19.5,11,2.0,1.0,2.0,47
2.0,2.0,48.5,40,2.0,1.0,2.0,46
2.0,2.0,64.5,41,2.0,1.0,2.0,46
2.0,2.0,30.5,43,2.0,1.0,2.0,46
2.0,2.0,33.5,36,2.0,1.0,2.0,46
2.0,1.0,25.5,25,2.0,1.0,1.0,46
2.0,2.0,46.5,39,2.0,1.0,2.0,45
2.0,3.0,21.5,27,2.0,1.0,3.0,45
2.0,1.0,25,24,2.0,1.0,1.0,43
2.0,3.0,42.5,35,2.0,1.0,3.0,43
2.0,3.0,30.5,28,2.0,1.0,3.0,43
2.0,2.0,18,10,2.0,1.0,2.0,43
2.0,3.0,31,18,2.0,1.0,3.0,43
2.0,3.0,25.5,34,2.0,1.0,3.0,42
2.0,2.0,32,29,2.0,1.0,2.0,42
2.0,2.0,32.5,29,2.0,1.0,2.0,41
2.0,2.0,9.5,26,2.0,1.0,2.0,41
2.0,2.0,36.5,20,2.0,1.0,2.0,41
2.0,2.0,28,21,2.0,1.0,2.0,41
2.0,3.0,11,21,2.0,1.0,3.0,40
2.0,3.0,21.5,19,2.0,1.0,3.0,40
2.0,2.0,36.5,29,2.0,1.0,2.0,40
2.0,3.0,73,52,2.0,1.0,3.0,39
2.0,3.0,30,25,2.0,1.0,3.0,39
2.0,2.0,16,20,2.0,1.0,2.0,39
2.0,3.0,17.5,15,2.0,1.0,3.0,38
2.0,2.0,17.5,17,2.0,1.0,2.0,38
2.0,2.0,22.5,34,2.0,1.0,2.0,38
2.0,2.0,28.5,40,2.0,1.0,2.0,37
2.0,2.0,31,29,2.0,1.0,2.0,37
2.0,1.0,34.5,29,2.0,1.0,1.0,37
2.0,3.0,50,50,2.0,1.0,3.0,35
2.0,2.0,24.5,24,2.0,1.0,2.0,35
2.0,2.0,27,8,2.0,1.0,2.0,34
2.0,3.0,26,15,2.0,1.0,3.0,34
